#,单词,音标,解释,笔记
1040,"suppliant","英:/'sʌplɪənt/ 美:/ˈsʌpliənt/","- adj. 恳求的,哀求的,谦卑的
- n. 恳求者,哀求者

名 词:  
suppliance

副 词:  
suppliantly",
1041,"adjuration","英:/ˌædʒʊə'reɪʃən/ 美:/ˌædʒəˈreʃən/","n. 恳请,请愿

形容词:  
adjuratory",
1042,"dislodge","英:/dɪs'lɒdʒ/ 美:/dɪs'lɑdʒ/","vt. 把…赶出，从…逐出；把…移去

时 态:  
dislodged，dislodging，dislodges",
1043,"ostracism","英:/'ɒstrəsɪz(ə)m/ 美:/'ɑstrəsɪzəm/","n. 排斥；放逐；贝壳流放法",
1044,"expulsion","英:/ɪk'spʌlʃ(ə)n/ 美:/ɪk'spʌlʃən/","- n. 喷出, 排出
- 开除, 驱逐",
1045,"bowdlerize","英:/'baʊdləraɪz/ 美:/'baʊdləraɪz/","vt. 删除(书刊、剧本等中)有伤风化的词语或场面

时 态:  
bowdlerized, bowdlerizing, bowdlerizes 

名 词:  
bowdlerism",
1046,"foreclose","英:/fɔː'kləʊz/ 美:/fɔr'kloz/","- vt. 取消(抵押品)赎回权；取消(抵押人的)赎回抵押品的权利
- 排除，阻止

时 态:  
foreclosed，foreclosing，forecloses",
1047,"wean","英:/wiːn/ 美:/win/","- vt. 使断奶；使断念；使放弃
- n. （苏格兰）幼儿


时 态:  
weaned, weaning, weans",
1048,"extirpate","英:/'ekstɜːpeɪt/ 美:/ˈɛkstɚˌpet/","- vt. 消灭,灭绝
- 根除

时 态:  
extirpated, extirpating, extirpates 

名 词:  
extirpation

名 词:  
extirpator",
1049,"forbear","英:/fɔː'beə/ 美:/fɔr'bɛr/","- vt. 忍耐；克制
- vi. 忍耐；克制
- n. 祖先


时 态:  
forbore 
forborne 
forbearing, forbears",
1050,"construe","/kən'struː/","- vt. 解释；分析；翻译
- vi. 作文法性的分析


时 态:  
construed, construing, construes",
1051,"explicable","英:/ɪk'splɪkəb(ə)l/ 美:/ɪk'splɪkəbl/","adj. 可解释的,可说明的",
1052,"expository","英:/ɪks'pɒzɪtrɪ/ 美:/ɪk'spɑzətɔri/","adj. 说明的,解释的",
1053,"expound","英:/ɪk'spaʊnd/ 美:/ɪk'spaʊnd/","- vt. 解释；详细说明
- vi. 解释；详细说明


时 态:  
expounded, expounding, expounds 

名 词:  
expounder",
1054,"apprise","英:/ə'praɪz/ 美:/əˈpraɪz/","vt. 通知；报告


时 态:  
apprised, apprising, apprises",
1055,"exposition","英:/ekspə'zɪʃ(ə)n/ 美:/ˌɛkspə'zɪʃən/","- n. 〈正〉阐述, 讲解
- 展览会, 博览会

形容词:  
expositive

名 词:  
expositor",
1056,"exegesis","英:/ˌeksɪ'dʒiːsɪs/ 美:/'ɛksə'dʒisɪs/","n. 注释,解释(尤指对基督教《圣经》的注释)",
1057,"excogitate","英:/ɪks'kɒdʒɪteɪt/ 美:/ɛks'kɑdʒə,tetɪv/","vt. 想出，设计出；图谋；算计，深思熟虑

时 态:  
excogitated，excogitating，excogitates 

名 词:  
excogitation

形容词:  
excogitative",
1058,"introspective","英:/ˌɪntrəʊˈspektɪv/ 美:/'ɪntrə'spɛktɪv/","- adj. 好反省的；好内省的
- 反省的；内省的",
1059,"retrace","英:/rɪ'treɪs/ 美:/rɪ'tres/","vt. 追溯；折回；重描


时 态:  
retraced, retracing, retraces",
1060,"cerebration","/ˌseri'breiʃən/","n. 大脑活动",
1061,"contravene","英:/ˌkɒntrə'viːn/ 美:/ˌkɑntrə'vin/","vt. 取消,违反

时 态:  
contravened, contravening, contravenes",
1062,"infringe","英:/ɪn'frɪn(d)ʒ/ 美:/ɪn'frɪndʒ/","- vt. & vi. 违反(规章等)
- 侵犯(某人的权利)
- 侵犯，侵害(某人的自由、权益等)

时 态:  
infringed, infringing, infringes",
1063,"transgress","英:/trænz'gres/ 美:/trænz'ɡrɛs/","- vt. 超越，越过；违反，违背
- vi. 做坏事；道德败坏，违反道德；犯法

时 态:  
transgressed，transgressing，transgresses 

形容词:  
transgressive

名 词:  
transgressor",
1064,"debrief","英:/diː'briːf/ 美:/di'brif/","vt. 向(外交人员等)询问执行任务的情况

时 态:  
debriefed, debriefing, debriefs",
1065,"rejoin","英:/riː'dʒɒɪn/ 美:/ˌri'dʒɔɪn/","- vi. 回答；答辩；重新聚合
- vt. 使…再结合；再加入；再回答


时 态:  
rejoined, rejoining, rejoins",
1066,"cynosure","英:/'sɪnəzjʊə/ 美:/'sɪnəʃʊr/","n. 引人注目的人(或物),焦点

形容词:  
cynosural",
1067,"liaison","英:/lɪ'eɪz(ə)n/ 美:/lɪ'ezɑn/","n. 联络；（语言）连音",
1068,"confide","英:/kən'faɪd/ 美:/kən'faɪd/","vt.  吐露；委托
vi.信赖；吐露秘密  

时 态:  
confided, confiding, confides 

名 词:  
confider",
1069,"credence","英:/'kriːd(ə)ns/ 美:/'kridns/","n. 信任；凭证；祭器台（等于credence table，credenza）",
1070,"burrow","英:/'bʌrəʊ/ 美:/'bɝro/","- vt. & vi. 挖掘(洞穴)；挖洞
- vi. 翻寻
- n. 地洞

时 态:  
burrowed，burrowing，burrows",
1071,"grope","英:/grəʊp/ 美:/ɡrop/","- vt. & vi. 暗中摸, 摸索
- vi. 探索, 搜寻

时 态:  
groped, groping, gropes 

副 词:  
gropingly",
1072,"exceptionable","英:/ɪk'sepʃ(ə)nəb(ə)l/ 美:/ɪkˈsɛpʃənəbəl/","adj. 会引起反感的;可提出异议的

副 词:  
exceptionably",
1073,"obnoxious","英:/əb'nɒkʃəs/ 美:/əb'nɑkʃəs/","- adj. 极不愉快的;讨厌的;可憎的
- adv. 令人非常不快地;引起反感地
- n. 讨厌;可恶",
1074,"odious","英:/'əʊdɪəs/ 美:/'odɪəs/","adj. 讨厌的；可憎的


副 词:  
odiously

名 词:  
odiousness",
1075,"rebarbative","英:/rɪ'bɑːbətɪv/ 美:/riˈbɑrbətɪv/","adj. 令人讨厌的；难看的",
1076,"scandalize","英:/'skænd(ə)laɪz/ 美:/'skændəlaɪz/","- vt. 使震惊
- 使...愤慨
- 诽谤；使...受耻辱

时 态:  
scandalized，scandalizing，scandalizes 

名 词:  
scandalizer",
1077,"disinclination","英:/ˌdɪsɪnklɪ'neɪʃ(ə)n/ 美:/ˌdɪs,ɪnklɪ'neʃən/","n. 不愿意;不情愿",
1078,"desideratum","英:/dɪ,zɪdə'rɑːtəm/ 美:/dɪ'zɪdə'rɑtəm/","n. 想望得到的东西

复 数: 
desiderata",
1079,"procrustean","/prəu'krʌstiən/","adj. 强求一致的;迫使就范的(源出希腊神话procrustes之床)",
1080,"importunate","英:/ɪm'pɔːtjʊnət/ 美:/ɪm'pɔrtʃənət/","adj. 强求的,纠缠不休的",
1081,"winkle","英:/'wɪŋk(ə)l/ 美:/'wɪŋkl/","- vt. 剔出；费劲找出
- n. 食用螺
- vi. 闪耀


时 态:  
winkled, winkling, winkles",
1082,"bridle","英:/'braɪd(ə)l/ 美:/'braɪdl/","- n. 马勒；系带；约束物；缰绳
- vt. 控制；给装马勒
- vi. 昂首表示轻蔑；生气


时 态:  
bridled, bridling, bridles",
1083,"containment","英:/kən'teɪnm(ə)nt/ 美:/kən'tenmənt/","- n. 控制；抑制
- (对另一个国家力量的)遏制
- 遏制，遏制政策",
1084,"dissemble","英:/dɪ'semb(ə)l/ 美:/dɪˈsɛmbəl/","vt. 假装；掩饰(感情、意图等)

时 态:  
dissembled, dissembling, dissembles 

名 词:  
dissemblance

名 词:  
dissembler",
1085,"dissimulate","英:/dɪ'sɪmjʊleɪt/ 美:/dɪˈsɪmjəˌlet/","vt. & vi. 掩饰(感情),假装(镇静)

时 态:  
dissimulated, dissimulating, dissimulates 

名 词:  
dissimulation

名 词:  
dissimulator",
1086,"insidious","英:/ɪn'sɪdɪəs/ 美:/ɪn'sɪdɪəs/","- adj. 隐伏的,潜在的,暗中为害的
- adv. 潜在地,隐伏地,阴险地
- n. 潜伏,阴险",
1087,"privy","英:/'prɪvɪ/ 美:/'prɪvi/","- adj. 私人的；不公开的；秘密参与的
- n. [律]有利害关系的人；厕所",
1088,"secluded","英:/sɪ'kluːdɪd/ 美:/sɪ'kludɪd/","- adj. 隐退的，隐居的；隐蔽的
- v. 隔绝（seclude的过去式）",
1089,"reclusive","英:/riˈklu:siv/ 美:/rɪ'klʊsɪv/","adj. 隐遁的,隐居的",
1090,"fructify","英:/'frʌktɪfaɪ/ 美:/ˈfrʌktəˌfaɪ/","- vi. 结果实
- vt. 使结果实，使多产；使土地肥沃

时 态:  
fructified，fructifying，fructifies",
1091,"insuperable","英:/ɪn'suːp(ə)rəb(ə)l/ 美:/ɪn'supərəbl/","adj. 不能逾越的;不能克服的

副 词:  
insuperably",
1092,"brawl","英:/brɔːl/ 美:/brɔl/","- n. 吵架, 打架
- vi. 打架, 争吵

时 态:  
brawled, brawling, brawls 

名 词:  
brawler",
1093,"fray","英:/freɪ/ 美:/fre/","- n. 争论；打架；磨损处
- vt. 使磨损；变得令人紧张、急躁
- vi. 被磨损


时 态:  
frayed, fraying, frays",
1094,"pugnacious","英:/pʌg'neɪʃəs/ 美:/pʌg'neʃəs/","adj. 好战的;好斗的;好挑衅的",
1095,"squabble","英:/'skwɒb(ə)l/ 美:/'skwɑbl/","vi. (为小事而)争论, 吵嘴

时 态:  
squabbled, squabbling, squabbles 

名 词:  
squabbler",
1096,"strife","英:/straɪf/ 美:/straɪf/","n. 冲突；争吵；不和",
1097,"altercation","英:/ɒltə'keɪʃ(ə)n/ 美:/ˌɔltɚ'keʃən/","n. 争执",
1098,"hassle","英:/'hæs(ə)l/ 美:/'hæsl/","- vt. 找麻烦，搅扰；与…争辩；使…烦恼
- n. 困难，麻烦；激战
- vi. 争论，争辩


时 态:  
hassled, hassling, hassles",
1099,"substantiate","英:/səb'stænʃɪeɪt/ 美:/səb'stænʃɪet/","vt. 用事实支持(某主张、说法等)；证明，证实

时 态:  
substantiated，substantiating，substantiates 

名 词:  
substantiation",
1100,"vindication","英:/ˌvɪndɪ'keɪʃən/ 美:/ˌvɪndə'keʃən/","n. (对所受到的责难或嫌疑的)澄清;证实；辩护",
1101,"espousal","英:/ɪ'spaʊz(ə)l/ 美:/ɪˈspaʊzəl/","n. 拥护；信奉；订婚",
1102,"espouse","英:/ɪ'spaʊz/ 美:/ɪ'spaʊz/","- vt. (决定)支持,拥护(目标、主张等)
- n. (对某一目标、主张等的)支持,拥护

时 态:  
espoused, espousing, espouses",
1103,"foothold","英:/'fʊthəʊld/ 美:/'fʊt'hold/","- n. 立足处(攀登时脚踩的地方)
- (在事业等方面可以进一步发展的)稳固地位",
1104,"woo","英:/wuː/ 美:/wu/","- vt. 追求；招致；向…求爱；恳求
- vi. 求爱；恳求


时 态:  
wooed, wooing, woos 

名 词:  
wooer",
1105,"corroborate","英:/kə'rɒbəreɪt/ 美:/kə'rɑbəret/","- vt. 证实，支持(某种说法、信仰、理论等)
- n. 确证者；确证物

时 态:  
corroborated，corroborating，corroborates 

名 词:  
corroboration

形容词:  
corroborative

名 词:  
corroborator

形容词:  
corroboratory",
1106,"blockade","英:/blɒ'keɪd/ 美:/blɑ'ked/","- vt. 封锁
- n. 阻塞


时 态:  
blockaded, blockading, blockades 

名 词:  
blockader",
1107,"blockage","英:/'blɒkɪdʒ/ 美:/'blɑkɪdʒ/","n. 堵塞物",
1108,"cumber","英:/'kʌmbə/ 美:/'kʌmbɚ/","- vt. 妨害
- 使受苦
- n. 妨害
- 拖累

时 态:  
cumbered, cumbering, cumbers",
1109,"encumber","英:/ɪn'kʌmbə/ 美:/ɪn'kʌmbɚ/","vt. 阻塞；妨害；拖累


时 态:  
encumbered, encumbering, encumbers",
1110,"impediment","英:/ɪm'pedɪm(ə)nt/ 美:/ɪm'pɛdɪmənt/","- n. 妨碍、阻碍某事物进展或活动的人或物
- 身体上的某类残疾, 缺陷

形容词:  
impedimental",
1111,"occlude","英:/ə'kluːd/ 美:/ə'klud/","- vt. 使闭塞；封闭；挡住
- vi. 咬合


时 态:  
occluded, occluding, occludes 

形容词:  
occludent",
1112,"trammel","英:/'træm(ə)l/ 美:/'træml/","- vt. 束缚；拘束；阻碍
- n. 拘束；束缚；束缚物


时 态:  
trammeled, trammelled 
trammeling, trammelling 
trammels, trammels",
1113,"hurdle","英:/'hɜːd(ə)l/ 美:/'hɝdl/","- n. 障碍；跳栏；栏
- vt. 克服
- vi. 克服；跳过


时 态:  
hurdled, hurdling, hurdles 

名 词:  
hurdler",
1114,"actuate","英:/'æktʃʊeɪt/ 美:/'æktʃuet/","vt. 开动（机器等）；促使，驱使；激励（人等）


时 态:  
actuated, actuating, actuates 

名 词:  
actuation",
1115,"bilk","英:/bɪlk/ 美:/bɪlk/","- vt. 欺骗，诈骗；赖帐；使受挫折
- n. 骗子；诈骗；赖帐


时 态:  
bilked, bilking, bilks 

名 词:  
bilker",
1116,"ineluctable","英:/ˌɪnɪ'lʌktəb(ə)l/ 美:/ˌɪnɪ'lʌktəbl/","adj. 不可避免的,必然发生的

名 词:  
ineluctability",
1117,"truancy","英:/'truːənsɪ/ 美:/'truənsi/","n. 旷课，逃学；玩忽职守",
1118,"skulk","英:/skʌlk/ 美:/skʌlk/","- vi. 潜伏；偷偷隐躲；逃避责任；偷偷摸摸地行走
- n. 躲藏者；逃避责任者；潜行的人或动物


时 态:  
skulked, skulking, skulks 

名 词:  
skulker",
1119,"beget","英:/bɪ'get/ 美:/bɪ'ɡɛt/","- vt. 为…之生父
- 产生,引起

时 态:  
begot 
begotten , begot 
begetting, begets 

名 词:  
begetter",
1120,"amiss","英:/ə'mɪs/ 美:/ə'mɪs/","- adj. 有毛病的，有缺陷的；出差错的
- adv. 错误地",
1121,"fallacious","英:/fə'leɪʃəs/ 美:/fə'leʃəs/","adj. 谬误的;虚妄的;欺骗的;靠不住的; 不合逻辑的;令人失望的

副 词:  
fallaciously",
1122,"fallibility","英:/ˌfælə'bɪlətɪ/ 美:/ˌfælə'bɪləti/","n. 易错,不可靠,易误",
1123,"fallible","英:/'fælɪb(ə)l/ 美:/'fæləbl/","adj. 易犯错误的；不可靠的


副 词:  
fallibly",
1124,"faulted","/fɔ:lt/","- adj. 有缺点的；有毛病的
- v. 挑剔；发现…的缺点（fault的过去式）",
1125,"peccadillo","英:/ˌpekə'dɪləʊ/ 美:/ˌpɛkəˈdɪlo/","n. 轻罪,小过失",
1126,"remiss","英:/rɪ'mɪs/ 美:/rɪ'mɪs/","adj. 怠慢的；迟缓的；不小心的


副 词:  
remissly

名 词:  
remissness",
1127,"extrapolate","英:/ɪk'stræpəleɪt/ 美:/ɪk'stræpə'let/","vt. (由已知资料对未知事实或价值)推算,推断

时 态:  
extrapolated, extrapolating, extrapolates 

名 词:  
extrapolation",
1128,"presumable","英:/prɪ'zjuːməbl/ 美:/pri'zjʊməbl/","adj. 可推测的

副 词:  
presumably",
1129,"presupposition","英:/ˌpri:sʌpəˈziʃn/ 美:/'prisʌpə'zɪʃən/","n. 预想；假定；臆测",
1130,"canvass","英:/'kænvəs/ 美:/'kænvəs/","- vt. 彻底检查；向…拉票或拉生意；细究
- vi. 游说；拉选票
- n. 讨论；细查；劝诱


时 态:  
canvassed, canvassing, canvasses 

名 词:  
canvasser",
1131,"superintend","英:/suːp(ə)rɪn'tend/ 美:/ˌsupərɪn'tɛnd/","vt. 管理,监督,主管

时 态:  
superintended, superintending, superintends 

名 词:  
superintendence",
1132,"congregate","英:/'kɒŋgrɪgeɪt/ 美:/'kɑŋɡrɪɡet/","vt. & vi. (使)集合, 聚集

时 态:  
congregated, congregating, congregates 

形容词:  
congregative",
1133,"conjoin","英:/kən'dʒɒɪn/ 美:/kən'dʒɔɪn/","vt. & vi. 结合, 联合

时 态:  
conjoined, conjoining, conjoins",
1134,"garner","英:/'gɑːnə/ 美:/'ɡɑrnɚ/","- vt. 储存；获得；把…储入谷仓
- n. 谷仓

Garner加纳(①姓氏 ②John Nance, 1868-1967, 美国政治家, 于1933-1941任副总统)

时 态:  
garnered, garnering, garners",
1135,"excerpt","英:/'eksɜːpt/ 美:/'ɛksɝpt/","- n. 摘录, 摘要
- vt. 选录, 摘录

时 态:  
excerpted, excerpting, excerpts",
1136,"expatiate","英:/ɪk'speɪʃɪeɪt/ 美:/ɪkˈspeʃiˌet/","vi. 详述,细说

时 态:  
expatiated, expatiating, expatiates 

名 词:  
expatiation",
1137,"facsimile","英:/fæk'sɪmɪlɪ/ 美:/fæk'sɪməli/","n. (文字、图画等的)副本;传真",
1138,"impersonate","英:/ɪm'pɜːs(ə)neɪt/ 美:/ɪm'pɝsənet/","- vt. 扮演
- 模仿, 假冒

时 态:  
impersonated, impersonating, impersonates 

名 词:  
impersonation

名 词:  
impersonator",
1139,"duress","英:/djʊ(ə)'res/ 美:/du'rɛs/","n. 监禁；强迫",
1140,"interlude","英:/'ɪntəl(j)uːd/ 美:/'ɪntɚ'lʊd/","- n. (戏剧、电影等的)中间休息, 幕间休息
- 两事件的时间
- 某事过程中发生的事件或片段",
1141,"recumbent","英:/rɪ'kʌmb(ə)nt/ 美:/rɪ'kʌmbənt/","- adj. 躺着的
- 斜靠的

副 词:  
recumbently",
1142,"repose","英:/rɪ'pəʊz/ 美:/rɪ'poz/","- n. 休息；睡眠；静止
- vt. 使休息；寄托于
- vi. 休息；长眠；依靠；座落；静卧；建立于


时 态:  
reposed, reposing, reposes 

名 词:  
reposal",
1143,"congest","英:/kən'dʒest/ 美:/kən'dʒɛst/","vt. 充满,拥挤

时 态:  
congested, congesting, congests 

名 词:  
congestion

形容词:  
congestive",
1144,"interplay","英:/'ɪntəpleɪ/ 美:/ˌɪntɚ'plɛi/","n. 相互作用

时 态:  
interplayed, interplaying, interplays",
1145,"militate","英:/'mɪlɪteɪt/ 美:/'mɪlɪtet/","vi. 有影响；产生作用


时 态:  
militated, militating, militates",
1146,"preconceive","英:/ˌpriːkən'siːv/ 美:/ˌprikənˈsiv/","vt. 预想

时 态:  
preconceived, preconceiving, preconceives",
1147,"preordain","英:/ˌpriːɔː'deɪn/ 美:/ˌpriɔr'den/","vt. 预先规定, 注定

时 态:  
preordained, preordaining, preordains 

名 词:  
preordination",
1148,"prescient","英:/ˈpri:ʃi:ənt/ 美:/'prɛʃɪənt/","adj. 有预知能力的,有先见之明的",
1149,"adumbrate","英:/'ædʌmbreɪt/ 美:/'ædəmbret/","- vt. 约略显示,勾画出…的轮廓
- n. 预示,预兆
- 遮蔽, 遮暗, 给...投下阴影
- n. 预示,预兆

时 态:  
adumbrated, adumbrating, adumbrates 

名 词:  
adumbration

形容词:  
adumbrative",
1150,"betoken","英:/bɪ'təʊk(ə)n/ 美:/bɪ'tokən/","vt. 预示；表示


时 态:  
betokened, betokening, betokens",
1151,"envision","英:/en'vɪʒ(ə)n/ 美:/ɪn'vɪʒn/","vt. 想像,展望

时 态:  
envisioned, envisioning, envisions",
1152,"foreknowledge","英:/fɔː'nɒlɪdʒ/ 美:/fɔrˈnɑlɪdʒ/","n. 预知,先见之明",
1153,"forerunner","英:/'fɔːrʌnə/ 美:/'fɔr'rʌnɚ/","- n. 先驱, 开路人
- 先兆, 前兆",
1154,"portend","英:/pɔː'tend/ 美:/pɔr'tɛnd/","vt. 预示，预兆；给…以警告，预告

时 态:  
portended，portending，portends",
1155,"prefigure","英:/priː'fɪgə/ 美:/pri'fɪɡjʊr/","- vt. 预示，预兆
- n. 预示，预兆；预想
- adj. 预示的，预兆的

时 态:  
prefigured，prefiguring，prefigures 

形容词:  
prefigurative",
1156,"premonition","英:/ˌpremə'nɪʃ(ə)n/ 美:/ˌprɛmə'nɪʃən/","n. 预告；征兆


形容词:  
premonitory",
1157,"presentiment","英:/prɪ'zentɪm(ə)nt/ 美:/prɪ'zɛntɪmənt/","n. (对不祥事物的)预感",
1158,"prevision","英:/prɪ'vɪʒən/ 美:/ˌprivɪʒən/","n. 预知；先见


时 态:  
previsioned, previsioning, previsions",
1159,"prognosticate","英:/prɒg'nɒstɪkeɪt/ 美:/prɑɡˈnɑstɪˌket/","vt. & vi. 预言；预示

时 态:  
prognosticated，prognosticating，prognosticates 

名 词:  
prognostication

名 词:  
prognosticator",
1160,"premonitory","/pri'mɔnitəri/","adj. 有预兆的",
1161,"equanimity","英:/ˌekwə'nɪmɪtɪ/ 美:/ˌɛkwə'nɪməti/","n. 平和,镇静",
1162,"halcyon","英:/'hælsɪən/ 美:/'hælsɪən/","adj. 平静的,太平的,幸福的",
1163,"pastoral","英:/'pɑːst(ə)r(ə)l/ 美:/'pæstərəl/","- adj. 牧师的，圣职的；牧师职责的
- 有关田园生活的，农村生活的
- (土地)长满草的；宜于放牧的
- n. 牧函，主教教书

副 词:  
pastorally",
1164,"bedlam","英:/'bedləm/ 美:/'bɛdləm/","n. 混乱，骚乱；精神病院，疯人院",
1165,"fracas","英:/'frækɑː/ 美:/'frekəs/","n. 大声吵架
FRACASabbr. Filter Response Analysis for Continuously Accelerating Spacecraft 连续加速航天器滤波器响应分析",
1166,"aghast","英:/ə'gɑːst/ 美:/ə'ɡæst/","adj. 吓呆的，惊骇的；吃惊的",
1167,"astound","英:/ə'staʊnd/ 美:/ə'staʊnd/","vt. 使惊骇；使震惊


时 态:  
astounded, astounding, astounds",
1168,"convulse","英:/kən'vʌls/ 美:/kən'vʌls/","vt. 使抽搐,使剧烈震动

时 态:  
convulsed, convulsing, convulses",
1169,"dumbfound","英:/dʌm'faʊnd/ 美:/ˈdʌmˌfaʊnd/","v. 使人哑然失声,使发楞

时 态:  
dumbfounded, dumbfounding, dumbfounds",
1170,"hectic","英:/'hektɪk/ 美:/'hɛktɪk/","adj. 繁忙的;忙乱的",
1171,"expediency","英:/ɪk'spiːdɪənsɪ/ 美:/ɪk'spidɪənsi/","- n. 适宜;方便;合算
- 利己；权术；权宜之计",
1172,"profundity","英:/prə'fʌndətɪ/ 美:/prə'fʌndəti/","n. 深奥;深刻;深厚",
1173,"impalpable","英:/ɪm'pælpəb(ə)l/ 美:/ɪmˈpælpəbəl/","adj. 感触不到的；难理解的；无形的


名 词:  
impalpability

副 词:  
impalpably",
1174,"inscrutable","英:/ɪn'skruːtəb(ə)l/ 美:/ɪn'skrʊtəbl/","adj. 不可理解的;谜一样的

副 词:  
inscrutably",
1175,"rhapsodize","英:/'ræpsədaɪz/ 美:/'ræpsədaɪz/","vi. 狂热地说；写作狂想诗文

时 态:  
rhapsodized，rhapsodizing，rhapsodizes",
1176,"demented","英:/dɪ'mentɪd/ 美:/dɪ'mɛntɪd/","- adj. 发狂的，疯狂的；精神错乱的
- v. 精神错乱；变得痴呆（dement的过去分词）",
1177,"fad","英:/fæd/ 美:/fæd/","n. 一时的爱好；时尚；一时流行的狂热


名 词:  
faddism

名 词:  
faddist

形容词:  
faddy",
1178,"amok","英:/ə'mɒk/ 美:/ə'mɑk/","- adv. 狂乱地；杀人狂地
- adj. 杀人狂的；狂乱的",
1179,"amuck","英:/ə'mʌk/ 美:/ə'mʌk/","adv. 疯狂地",
1180,"empathy","英:/'empəθɪ/ 美:/'ɛmpəθi/","n. 移情作用;同感;共鸣",
1181,"camaraderie","英:/ˌkæmə'rɑːd(ə)rɪ/ 美:/ˌkɑmə'rɑdəri/","n. 同志之爱,友情",
1182,"mitigant","/'mitiɡənt/","adj. 缓和的；减轻的",
1183,"dishevel","英:/dɪ'ʃevl/ 美:/dɪˈʃɛvəl/","vt. 使蓬乱,使头发凌乱,使衣服弄皱

时 态:  
disheveled, dishevelled 
disheveling, dishevelling 
dishevels, dishevels  

名 词:  
dishevelment",
1184,"disheveled","英:/di'ʃevəld/ 美:/dɪˈʃɛvəld/","adj. 凌乱的,不整洁的",
1185,"muddle","英:/'mʌd(ə)l/ 美:/'mʌdl/","- n. 糊涂；混乱，杂乱
- vt. 弄乱，弄糟
- 使糊涂
- vi. 对付，混日子
- 混日子；得过且过
- 勉强应付过去
- 使糊涂
- 把…(同…)弄混；把…错当成…
- 随便弄乱；使混乱

时 态:  
muddled，muddling，muddles 

名 词:  
muddler",
1186,"shambles","英:/'ʃæmb(ə)lz/ 美:/ˈʃæmbəlz/","- n. 混乱;杂乱
- 毁坏(景象)；废墟
- 屠宰场
- 大屠杀场面",
1187,"jumble","英:/'dʒʌmb(ə)l/ 美:/'dʒʌmbl/","- n. 混乱；杂乱的一堆东西
- vi. 混杂；搀杂
- vt. 搞乱；使混乱


时 态:  
jumbled, jumbling, jumbles",
1188,"potpourri","英:/pəʊ'pʊərɪ/ 美:/ˌpopʊ'ri/","- n. 百花香(指放在罐内的干燥花瓣和香料混合物，能散发香味)
- (文学作品的)集锦，杂录；集锦引曲
- 混杂物；杂烩",
1189,"backhanded","英:/bæk'hændɪd/ 美:/ˌbæk'hændɪd/","- adj. (恭维话)讽刺挖苦的, 假惺惺的
- (网球等运动)反手击球的, 用反手的",
1190,"depute","英:/dɪ'pjuːt/ 美:/dɪ'pjut/","vt. 委任；授权给；指定…为代理人


时 态:  
deputed, deputing, deputes",
1191,"deputize","英:/'depjʊtaɪz/ 美:/'dɛpjutaɪz/","vi. 担任代表

时 态:  
deputized, deputizing, deputizes",
1192,"exigent","英:/'eksɪdʒ(ə)nt/ 美:/ˈɛksədʒənt/","- adj. 急迫的, 紧急的
- 苛求的, 不断要求的",
1193,"necessitous","英:/nɪ'sesɪtəs/ 美:/nə'sɛsɪtəs/","adj. 贫困的;贫穷的",
1194,"exigency","英:/'eksɪdʒ(ə)nsɪ/ 美:/'ɛksədʒənsi/","n. 紧急；紧急事件",
1195,"misadventure","英:/mɪsəd'ventʃə/ 美:/ˌmɪsəd'vɛntʃɚ/","n. 运气不佳的遭遇",
1196,"famish","英:/'fæmɪʃ/ 美:/'fæmɪʃ/","vt. & vi. 使挨饿,感到极饿

时 态:  
famished, famishing, famishes",
1197,"labored","英:/'leɪbəd/ 美:/ˈlebəd/","- adj. 吃力的；费劲的；不自然的
- v. 工作；劳动；分娩（labor的过去分词）",
1198,"discommode","英:/ˌdɪskə'məʊd/ 美:/ˌdɪskəˈmod/","vt. 给…添麻烦；使不方便，使为难

时 态:  
discommoded，discommoding，discommodes",
1199,"modish","英:/'məʊdɪʃ/ 美:/'modɪʃ/","adj. 流行的,时髦的

副 词:  
modishly",
1200,"mealymouthed","/'mi:limauðd/","adj. 转弯抹角说的,不敢直说的",
1201,"connotation","英:/kɒnə'teɪʃ(ə)n/ 美:/ˌkɑnə'teʃən/","n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）


形容词:  
connotative",
1202,"noncommittal","英:/ˌnɒnkə'mɪtəl/ 美:/ˌnɑnkə'mɪtl/","- adj. 不作许诺的;不表态的
- 不确定的;含糊的",
1203,"oracular","英:/ɒ'rækjʊlə/ 美:/ə'rækjəlɚ/","adj. 神谕的；谜似的；玄妙深奥的",
1204,"indefatigable","英:/ˌɪndɪ'fætɪgəb(ə)l/ 美:/ˌɪndɪ'fætɪɡəbl/","adj. 不倦的,不屈不挠的

副 词:  
indefatigably",
1205,"destitution","英:/ˌdestɪ'tʃuːʃn/ 美:/ˌdɛstɪˈtuʃən/","n. 穷困,缺乏,贫穷",
1206,"exiguous","英:/ɪg'zɪgjʊəs/ 美:/ɛɡ'zɪɡjuəs/","adj. 稀少的,微小的",
1207,"impecunious","英:/ˌɪmpɪ'kjuːnɪəs/ 美:/ˌɪmpɪ'kjunɪəs/","adj. 没钱的, 不名一文的",
1208,"want","英:/wɒnt/ 美:/wɑnt/","- vt. 需要；缺少；应该；希望
- n. 需要；缺乏；贫困；必需品
- vi. 缺少；需要


时 态:  
wanted, wanting, wants 

名 词:  
wanter

形容词:  
wantless",
